日時,向き[deg],速さ[m/s]
2021/10/1 7:00,325,4.58
2021/10/1 6:00,285,2.73
2021/10/1 5:00,250,2.11
2021/10/1 4:00,315,1.05
2021/10/1 3:00,96,0.52
2021/10/1 2:00,323,0.81
2021/10/1 1:00,326,0.67
2021/10/1 0:00,249,1.68
2021/9/30 23:00,256,2.67
2021/9/30 22:00,238,0.68
2021/9/30 21:00,280,0.59
2021/9/30 20:00,34,2.42
2021/9/30 19:00,24,6.17
2021/9/30 18:00,34,7.88
2021/9/30 17:00,41,7.14
2021/9/30 16:00,0,0
2021/9/30 15:00,45,6.93
2021/9/30 14:00,58,5.63
2021/9/30 13:00,65,5.02
2021/9/30 12:00,86,3.81
2021/9/30 11:00,69,2.53
2021/9/30 10:00,72,3.39
2021/9/30 9:00,68,3.76
2021/9/30 8:00,44,5.36
